Year,Price,Dividend,Earnings,CPI,Rate10Y,CAPE,RealDiv,RealEarn,RealPrice,Payout,DivYield,EarnYield,PE,DivGrowth,EarnGrowth,Era
1936,15.468333333333334,0.5741666666666666,0.8858333333333334,13.866666666666667,2.6641666666666666,19.2575,12.663333333333334,19.5425,341.3225,0.6481655691439322,0.037118844952052574,0.05726753582588083,17.46190028222013,0.2806691449814125,0.19304152637485972,1930-1945  Depression & War
1937,15.405833333333334,0.7833333333333333,1.1483333333333332,14.383333333333333,2.625,18.456666666666667,16.670833333333334,24.43166666666667,328.3275,0.6821480406386068,0.05084654081246281,0.07453886514848271,13.415820029027579,0.3642960812772136,0.2963311382878644,1930-1945  Depression & War
1938,11.488333333333335,0.6966666666666667,0.7908333333333334,14.091666666666667,2.4683333333333333,13.928333333333333,15.128333333333332,17.169166666666666,249.655,0.8809272918861959,0.06064123023357028,0.0688379515450457,14.52687038988409,-0.11063829787234047,-0.31132075471698106,1930-1945  Depression & War
1939,12.061666666666667,0.5483333333333333,0.7733333333333333,13.908333333333333,2.2916666666666665,15.565,12.066666666666668,17.018333333333334,265.4008333333333,0.709051724137931,0.04546082630924416,0.06411496476440513,15.59698275862069,-0.21291866028708128,-0.02212855637513178,1930-1945  Depression & War
1940,11.020833333333334,0.6508333333333334,1.0275,14.008333333333333,2.091666666666667,14.685833333333333,14.222499999999998,22.453333333333333,240.8841666666667,0.6334144363341444,0.05905482041587902,0.09323251417769376,10.725871857258719,0.18693009118541037,0.3286637931034484,1930-1945  Depression & War
1941,9.824166666666667,0.6916666666666668,1.1158333333333335,14.725,2.185,12.2125,14.387500000000001,23.190833333333334,204.61166666666668,0.619865571321882,0.07040461447111715,0.11358045635762153,8.804331590739357,0.06274007682458405,0.08596918085969185,1930-1945  Depression & War
1942,8.673333333333334,0.65,1.0083333333333333,16.333333333333332,2.464166666666667,9.238333333333333,12.203333333333333,18.923333333333336,162.5175,0.6446280991735538,0.0749423520368947,0.11625672559569561,8.601652892561985,-0.06024096385542177,-0.09634055265123243,1930-1945  Depression & War
1943,11.504166666666668,0.5958333333333333,1.0549997500000001,17.308333333333334,2.475,11.042499999999999,10.539166666666667,18.661666666666665,203.38750000000002,0.5647710659015164,0.05179282868525896,0.0917058819268381,10.904425964713894,-0.08333333333333337,0.046280743801653035,1930-1945  Depression & War
1944,12.468333333333334,0.63,0.9208333333333334,17.591666666666665,2.4291666666666667,11.341666666666667,10.9625,16.025833333333335,216.92499999999998,0.6841628959276018,0.05052800427750301,0.07385376286592701,13.54027149321267,0.05734265734265742,-0.1271719890612929,1930-1945  Depression & War
1945,15.155833333333334,0.6533333333333333,0.975,17.991666666666667,2.2883333333333336,13.270833333333334,11.115833333333333,16.589166666666667,257.7525,0.67008547008547,0.04310771430142409,0.06433166547533953,15.544444444444446,0.03703703703703698,0.05882352941176472,1930-1945  Depression & War
