Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1983,43,2017,False,IDXX,25-50y,Does not pay
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1912,114,1986,True,ITW,100-150y,Pays a dividend
INCY,Incyte,Health Care,Biotechnology,1991,35,2017,False,INCY,25-50y,Does not pay
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,1859,167,2020,True,IR,150y+,Pays a dividend
PODD,Insulet Corporation,Health Care,Health Care Equipment,2000,26,2023,False,PODD,25-50y,Does not pay
INTC,Intel,Information Technology,Semiconductors,1968,58,1976,False,INTC,50-75y,Does not pay
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2000,26,2007,True,ICE,25-50y,Pays a dividend
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1958,68,1976,True,IFF,50-75y,Pays a dividend
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1898,128,1957,True,IP,100-150y,Pays a dividend
INTU,Intuit,Information Technology,Application Software,1983,43,2000,True,INTU,25-50y,Pays a dividend
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1995,31,2008,False,ISRG,25-50y,Does not pay
IVZ,Invesco,Financials,Asset Management & Custody Banks,1935,91,2008,True,IVZ,75-100y,Pays a dividend
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2012,14,2022,True,INVH,<25y,Pays a dividend
IQV,IQVIA,Health Care,Life Sciences Tools & Services,1982,44,2017,False,IQV,25-50y,Does not pay
IRM,Iron Mountain,Real Estate,Other Specialized REITs,1951,75,2009,True,IRM,50-75y,Pays a dividend
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,1961,65,2015,True,JBHT,50-75y,Pays a dividend
JBL,Jabil,Information Technology,Electronic Manufacturing Services,1966,60,2023,True,JBL,50-75y,Pays a dividend
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,1976,50,2018,True,JKHY,25-50y,Pays a dividend
J,Jacobs Solutions,Industrials,Construction & Engineering,1947,79,2007,True,J,75-100y,Pays a dividend
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1886,140,1973,True,JNJ,100-150y,Pays a dividend
JCI,Johnson Controls,Industrials,Building Products,1885,141,2010,True,JCI,100-150y,Pays a dividend
JPM,JPMorgan Chase,Financials,Diversified Banks,2000,26,1975,True,JPM,25-50y,Pays a dividend
KVUE,Kenvue,Consumer Staples,Personal Care Products,2022,4,2023,True,KVUE,<25y,Pays a dividend
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,1981,45,2022,True,KDP,25-50y,Pays a dividend
KEY,KeyCorp,Financials,Regional Banks,1825,201,1994,True,KEY,150y+,Pays a dividend
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,2014,12,2018,False,KEYS,<25y,Does not pay
KMB,Kimberly-Clark,Consumer Staples,Household Products,1872,154,1957,True,KMB,150y+,Pays a dividend
